comment_content,show_name,post_comment [Total Events]
""" أكثر شي يخافه الناس انفسهم ""

حلقة رااااائعة جداً",امشِ مع,1
""" إسراف و غلو على الدولة "" اف ذا الجزء يقهر اكثر",محفوف,1
""" إن مع العسر يسرا"" ولن يغلب عسرًا يسرًا 💯",امش مع,1
""" اصبر واحتسب وفوض الأمر لله""🤍

أستاذ وائل شخصية عظيمة يعطيك دروس في ثباته وصبره على الابتلاء والمهنية في العمل.
حلقة عظيمة ومؤثرة جدًا، تخل",أسئلة الحدث,1
""" اعلم ان اخوان الصدق هم خير مكاسب الدنيا ، زينة في الرخاء وعدة في الشدة ومعونة على المعاش والمعاد "" 

دائماً أقول إن الأصدقاء هم الإستثمار الن",آدم مع محمد الحاجي,2
""" الإنسانية كلمة جميلة لكنها لا تفك نزاعًا ولا تحل خلافًا "" 
"" احتمال الضدين ينفي عن القيمة حُسنها "" 
"" الحُرية لا تصنع الأخلاق بل تكتشفها "" 
حلقة",Bidon Waraq | بدون ورق,2
""" الله يسامحها ما دعيت عليها "" الله يرزقك من واسع فضله يا عبير على طيبة قلبك
أما بخصوص منع المنقبات خير؟ مو على أساس اتعبتونا بصياحكم عن الحري",أصوات,1
""" فيك الخصام وأنت الخصم والحكم """,أزرق,1
""" كل ما طلعوا في بودكاست قالوا عفوي، أنا سويت العكس وحبيت أصير متصنع"" 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",وش السالفة؟,1
""" ما تدرين وش قطعة الخشب الخاصه فيك.؟""
هذي ثاني حلقة اسمعها في ثمانية ومحملة التطبيق مبدئياً عشان أسمعك بيبي ، وكملت اسمع لأخر شي لاني لمست في",امشِ مع,1
""" متى يعود الفجر ؟ ""
🧐🧐🧐",الفجر,1
""" من عرفك صغيّر حقرك كبيّر """,فنجان مع عبدالرحمن أبومالح,2
""" يوم عمل عادي"" متأكدين؟🤯",احتيال,1
""" يُنادونَني في السِلمِ يا اِبنَ زَبيبَةٍ
‏وَعِندَ صِدامِ الخَيلِ يا اِبنَ الأَطايِبِ ""

‏وَلَولا الهَوى ما ذَلَّ مِثلي لِمِثلِهِم
‏وَلا خ",أسمار,1
"""I don't rely on motivation"" This sentence and the ones that follow, it sum up a lot about our human behavior!",The Diary Of A CEO with Steven Bartlett,1
"""It's easier to build strong children than fix broken man.""",On Purpose with Jay Shetty,1
"""The grass is not always greener on the other side. The grass is greener where you water it.""",مش لوحدك,1
"""The will to talk even when it might not be comfortable at first is another basic ingredient in becoming a better talker.""",Book Summaries by Wise Words,1
"""There’s no amount of production that going to make you good enough.""

""Sit in that feeling. Sit in that experience. Do these things and allow your adult self to do things that scares you, so your inner child feels safe.""",BEING HER with Margarita Nazarenko,1
"""أسوأ شيء يحصل للإنسان في الحرب .. هو أن يخلق تكيفات مع واقع جديد غير سويّ""
حلقة خفيفة لطيفة أنصح بمشاهدتها لفهم المعاناة النفسية التي تمر بعا",ملاذ,1
"""أغار عليكِ من طيف غريب مر في بالك، ومن ذكرى بها غيري، ومن عطر على شالك، ومن زوار منزلكم إذا سألوكِ عن حالك..""",أسمار,2
"""أقرم؟ يلا بسم الله""
-طارق
""واااو، انعضت مرة بسهولة ذي""
-مازن",رابط تشعبي,1
"""أقرم؟ يلا بسم الله"" 
-طارق",رابط تشعبي,1
"""أكثر شيء يخافه الناس أنفسهم""

حلقة بديعة! 🔥",امشِ مع,1
"""أنا من أهوى ومن أهوى أنا
نـــــحن روحان حللنا بدنا
فــــــإذا أبصرتني أبصرته
وإذا أبصــــــــرته كان أنـــا
روحه روحي وروحي روحه
من رأى رو",آدم مع محمد الحاجي,1
"""أنت إذا تملك اللغة تملك كل شيء💎""

أحب أمل، وكيف تكتب وكيف تصل كلماتها مباشرة لقلبي، لفتت انتباهي طفولتها، ومنطقتلي نظرتها  و خيالها الواسع",امشِ مع,2
"""أنت تبغى تصعد السلم، بس أنت في وسط السلم لازم تنزل تحت"" 🧐👌🏼

*ليش ما صارت الحلقة مقسمة لأبواب مثل قبل؟

صدفة حديثكم اليوم عن (السيارات الكه",جادي,1
"""أنت ما تقدر تعرف العالم إلا إذا عرفت نفسك. وماتقدر تعرف نفسك إلا لما تطلع من نفسك وتروح تشوف العالم""

+اللي مايعرف عن الصومال إلا إنها بلد فقي",فنجان مع عبدالرحمن أبومالح,1
"""أوه قصة عن الهوت-دوق خلني أسمعها""
""وكان اسمه ترمب"" 🙂",Snap Judgment,1
"""إذا انت تعاني من الهموم والمشاكل انصحك تستمع للحلقة صدقني راح تشوف همومك ومشاكلك لا شي مع قصة الريم """,فنجان مع عبدالرحمن أبومالح,1
"""إذا كانت المشكلة اقتصادية فالحل اقتصادي""! 

دعني أقلب الفكرة وأتساءل: لماذا لا نحارب كون المشكلة اقتصادية من الأساس لكي نتجنب هذا النوع من ال",الصفحة الأخيرة,1
"""إذا كانت المشكلة اقتصادية فالحل اقتصادي""! 

هذا النوع من الحلول مثير للاهتمام وقد يقضي مؤقتاً على مشكلة ""موافقات التأمين""، لكن من شأنه أن يخل",الصفحة الأخيرة,1
"""إذا هبت أمرًا فقع فيه💯""
حلقة رائعة،ممتعة وملهمة، أفضل حلقة بالنسبة لي و جت في وقتها لأني حاليًا أعاني من الشعور اللي قالته أسماء مرحلة الضي",شمس,1
"""إنت حاول و اسعى الفرص ما تجي وإنت جالس ""
قصة كفاح جميلة والحلقة ممتعة ومفيدة. الضيف تكلم بكل شفافية وواقعية وأسلوب السرد ممتع.
"" لاتحرق جسور ا",بترولي,1
"""الإنسان عدو ما يجهل""✨",آدم مع محمد الحاجي,1
"""الإنسان يحتاج للعطاء ليكون متَّزِن""",أزرق,1
"""الاعلام العربي هو اعلام سعودي مالياً لكن ثقافياً صفر""

ألم عدم انعكاس ثقافتك على أي مشروع من مشاريعك الاعلامية مؤلم جداً،
سيطرة غير السعودي",سقراط مع عمر الجريسي,1
"""البودكاستات"" الي أسمعها أصنفها وفقًا لأوقات معينة. آدم صديق الأوقات الشاعرية، والهادئة، والعميقة🧘🏻‍♀️",آدم مع محمد الحاجي,1
"""التخطيط المسبق لايعول عليه""
البوصلة؟ أداة للتأخير فحسب",امشِ مع,1
"""التدين الصحيح هو الانفتاح على الذات"" 

"" في المجتمعات العربية نشأنا في دوائر مغلقة وخطيرة دائرة الخوف من التحريم الشرعي ودائرة الخوف من العي",فنجان مع عبدالرحمن أبومالح,1
"""التوبة وظيفة الحياة مهما أذنبت""
حلقة لطيفة بالوقت المناسب 🤍🌙",بدون ورق,1
"""الحياة الجديدة ماسهلت شي إلا وصعبته من جهة أخرى""",عقل غير هادئ | مبارك الزوبع,1
"""الزواج بداية حياة المرأة ونهاية حياة الرجل"" مقوله تتندن في مخي دائماً اذا جاء طاري الزواج،،،

في رأيي المحبة هي قدرت الاطراف في تقبل عيوب ال",فنجان مع عبدالرحمن أبومالح,1
"""السعودية تريد التحول من دولة النفط إلى دولة المعادن"" 

هكذا لخّصت صحيفة الإيكونوميست مايحدث في قطاع التعدين في المملكة. حيث ارتفعت تقديرات ا",سقراط مع عمر الجريسي,1
"""الشعر موجود في الدم العربي؛ هناك أحوال تستفزّه ليخرج"" يا الله! 
جميل للغاية. ما أجمل من الشعر، الا توّطنه بدواخلنا.",فنجان مع عبدالرحمن أبومالح,1
"""الشهادة ليست صك اعتراف بإنك ستحصل على فرصتك في الحياة""
حلقة رائعة رايقة ممتعة خصوصاً الجزء الأخير لحاله يكفي",امشِ مع,1
"""الفقد هو الموجع بس الموت مؤمنين فيه""                   الله يغفر لهم ويرحمهم ويسكنهم فسيح جناته..",امشِ مع,1
